,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
518,BMW,X7,BMW X7,BMW X7 XDRIVE40I,BMW,X7 XDRIVE40I,BMW X7 XDRIVE40I
519,VOLKSWAGEN,POLO,VOLKSWAGEN POLO,VOLKSWAGEN POLO,VOLKSWAGEN,POLO,VOLKSWAGEN POLO
520,VOLKSWAGEN,POLO GTI,VOLKSWAGEN POLO GTI,VOLKSWAGEN POLO,VOLKSWAGEN,POLO,VOLKSWAGEN POLO
521,PORSCHE,911 TURBO S,PORSCHE 911 TURBO S,PORSCHE 911 TURBO S,PORSCHE,911 TURBO S,PORSCHE 911 TURBO S
522,AUDI,A4 RS 4,AUDI A4 RS 4,AUDI A4 S4,AUDI,A4 S4,AUDI A4 S4
523,AUDI,A4 S4,AUDI A4 S4,AUDI A4 S4,AUDI,A4 S4,AUDI A4 S4
524,FERRARI,296,FERRARI 296,FERRARI 296 GTB,FERRARI,296 GTB,FERRARI 296 GTB
525,CUPRA,FORMENTOR E HYBRID,CUPRA FORMENTOR E HYBRID,CUPRA FORMENTOR E HYBRID,CUPRA,FORMENTOR E HYBRID,CUPRA FORMENTOR E HYBRID
526,AUDI,A8,AUDI A8,AUDI A8,AUDI,A8,AUDI A8
527,AUDI,A8 HYBRID,AUDI A8 HYBRID,AUDI A8,AUDI,A8,AUDI A8
528,MERCEDES,AMG GT E PERFORMANCE,MERCEDES AMG GT E PERFORMANCE,MERCEDES AMG AMG GT S,MERCEDES AMG,AMG GT S,MERCEDES AMG AMG GT S
529,BMW,X4,BMW X4,BMW X4,BMW,X4,BMW X4
530,NISSAN,LEAF,NISSAN LEAF,NISSAN LEAF,NISSAN,LEAF,NISSAN LEAF
531,MAXUS,EUNIQ 5,MAXUS EUNIQ 5,MAXUS EUNIQ 5,MAXUS,EUNIQ 5,MAXUS EUNIQ 5
532,SEAT,ARONA,SEAT ARONA,SEAT ARONA,SEAT,ARONA,SEAT ARONA
533,NISSAN,TOWNSTAR,NISSAN TOWNSTAR,NISSAN TOWNSTAR,NISSAN,TOWNSTAR,NISSAN TOWNSTAR
534,DACIA,LOGAN,DACIA LOGAN,DACIA LOGAN,DACIA,LOGAN,DACIA LOGAN
535,RANGE ROVER,EVOQUE,RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE,LAND ROVER,RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE
536,LAND ROVER,RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE,LAND ROVER,RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE
537,MITSUBISHI,ECLIPSE CROSS,MITSUBISHI ECLIPSE CROSS,MITSUBISHI ECLIPSE CROSS 150T MOT,MITSUBISHI,ECLIPSE CROSS 150T MOT,MITSUBISHI ECLIPSE CROSS 150T MOT
538,RENAULT,CAPTUR E TECH HIBRIDO,RENAULT CAPTUR E TECH HIBRIDO,RENAULT CAPTUR E TECH HYBRID,RENAULT,CAPTUR E TECH HYBRID,RENAULT CAPTUR E TECH HYBRID
539,AUDI,A4,AUDI A4,AUDI A4,AUDI,A4,AUDI A4
540,SWM,G01,SWM G01,SWM G01,SWM,G01,SWM G01
541,MERCEDES,CITAN,MERCEDES CITAN,MERCEDES BENZ CITAN,MERCEDES BENZ,CITAN,MERCEDES BENZ CITAN
542,SUZUKI,IGNIS,SUZUKI IGNIS,SUZUKI IGNIS,SUZUKI,IGNIS,SUZUKI IGNIS
543,DS,DS 3 E TENSE,DS DS 3 E TENSE,DS 3 CROSSBACK E TENSE,DS,3 CROSSBACK E TENSE,DS 3 CROSSBACK E TENSE
544,AUDI,TT,AUDI TT,AUDI TT,AUDI,TT,AUDI TT
545,AUDI,TT RS,AUDI TT RS,AUDI TT,AUDI,TT,AUDI TT
546,AUDI,TT ESTANDAR,AUDI TT ESTANDAR,AUDI TT,AUDI,TT,AUDI TT
547,RENAULT,MEGANE E TECH PLUG IN,RENAULT MEGANE E TECH PLUG IN,RENAULT MEGANE E TECH PLUG IN,RENAULT,MEGANE E TECH PLUG IN,RENAULT MEGANE E TECH PLUG IN
